Nom complet;Légumes;Féculent;Viande;Poisson;Pâtes;Purée;Catégorie;Saison;Repas facile
Blé + Carottes à la crème;Carotte;Blé;;;;;Plat VG;Tout;Oui
Blé + Haricot vert;Haricot vert;Blé;;;;;Plat VG;Tout;Oui
Blé + Poivrons + Sauce tomate;Poivrons;Blé;;;;;Plat VG;Été;Oui
Blé + Ratatouille;Ratatouille;Blé;;;;;Plat VG;Tout;Oui
Blé + Tian de légumes;Tomate, Courgette, Aubergine;;;;;;Plat VG;Été;Non
Boulgour + poêlée de légumes;Aubergine, courgette;Boulgour;;;;;Plat VF;Été;Non
Boulgour + Poivrons farcis;Poivrons;Boulgour;Farce de boeuf;;;;Plat;Été;Non
Cake Jambon / Emmental;;;Jambon;;;;Tarte;Tout;Oui
Cake Jambon / Olive;Olive;;Jambon;;;;Tarte;Tout;Oui
Cake VG;Tomate;;Oeufs;;;;Tarte;Tout;Oui
Canelloni bolognaise + Ratatouille;Ratatouille;Canelloni;Bolognaise;;Oui;;Plat;Tout;Non
Canelloni épinard - ricotta;Epinards;Canelloni;;;Oui;;Plat;Tout;Non
Carottes + Blanc de poulet à la crème;Carotte;;Blanc de poulet;;;;Plat;Tout;Oui
Carottes + Chipolatas;Carotte;;Chipolatas;;;;Plat;Tout;Oui
Carpaccio + Salade;Salade;;Carpacio;;;;Plat;Été;Oui
Carpacio + Salade de tomates;Tomate;;Carpacio;;;;Plat;Été;Non
Commande Thaï;;Riz;Poulet;;;;Plat;Tout;Non
Coquilettes + Knacki;;Coquillettes;Knacki;;Oui;;Plat;Tout;Oui
Coquillettes + Boudin blanc;;Coquillettes;Boudin blanc;;Oui;;Plat;Tout;Oui
Coquillettes + Cordon bleu;;Coquillettes;Cordon bleu;;Oui;;Plat;Tout;Oui
Coquillettes + Jambon;;Coquillettes;Jambon;;Oui;;Plat;Tout;Oui
Coquillettes + Poulet;;Coquillettes;Poulet;;Oui;;Plat;Tout;Oui
Coquillettes + Steak;;Coquillettes;Steak;;Oui;;Plat;Tout;Oui
Coquillettes + Steak Haché;;Coquillettes;Steak haché;;Oui;;Plat;Tout;Oui
Crêpes;;;;;;;Plat;Tout;Non
Croque monsieur;;;Jambon;;;;Plat;Tout;Oui
Croque monsieur + salade;Salade;;Jambon;;;;Plat;Tout;Oui
Crozet + Boulettes de viande;;Crozet;Boulettes de viande;;Oui;;Plat;Tout;Oui
Crozet + Carottes à la crème;Carotte;Crozet;;;Oui;;Plat VG;Tout;Oui
Crozet + Cordon bleu;;Crozet;Cordon bleu;;Oui;;Plat;Tout;Oui
Crozet + Haricot vert;Haricot vert;Crozet;;;Oui;;Plat VG;Tout;Oui
Crozet + Jambon;;Crozet;Jambon;;Oui;;Plat;Tout;Oui
Crozet + Knacki;;Crozet;Knacki;;Oui;;Plat;Tout;Oui
Crozet + Nuggets de poisson;;Crozet;;Nuggets de poisson;Oui;;Plat;Tout;Oui
Crozet + Poissons;;Crozet;;Poisson;Oui;;Plat;Tout;Oui
Crozet + Poulet;;Crozet;Poulet;;Oui;;Plat;Tout;Oui
Crozet + Ratatouille;Ratatouille;Crozet;;;Oui;;Plat VG;Été;Oui
Crozet + Riste d'Aubergines;Riste d'Aubergines;Crozet;;;Oui;;Plat VG;Tout;Oui
Crozet + Steack Haché;;Crozet;Steak Haché;;Oui;;Plat;Tout;Oui
